Iteration	CPUTime	PhysTime	Travels	CourFact
1	10	0	0.0151327298	0
2	14	0	0.0302654596	0
3	18	0	0.0453981895	0
4	22	0	0.0605309193	0
5	26	0	0.0756636491	0
6	29	0	0.0907963789	0
7	33	0	0.105929109	0
8	36	0	0.121061839	0
9	40	0	0.136194568	0
10	43	0	0.151327298	0
11	47	0	0.166460028	0
12	50	0	0.181592758	0
13	54	0	0.196725488	0
14	57	0	0.211858218	0
15	61	0	0.226990947	0
16	64	0	0.242123677	0
17	68	0	0.257256407	0
18	71	0	0.272389137	0
19	75	0	0.287521867	0
20	79	0	0.302654596	0
21	82	0	0.317787326	0
22	86	0	0.332920056	0
23	90	0	0.348052786	0
24	94	0	0.363185516	0
25	99	0	0.378318246	0
26	102	0	0.393450975	0
27	106	0	0.408583705	0
28	109	0	0.423716435	0
29	113	0	0.438849165	0
30	116	0	0.453981895	0
31	119	0	0.469114625	0
32	123	0	0.484247354	0
33	126	0	0.499380084	0
34	130	0	0.514512814	0
35	133	0	0.529645544	0
36	137	0	0.544778274	0
37	140	0	0.559911003	0
38	143	0	0.575043733	0
39	147	0	0.590176463	0
40	152	0	0.605309193	0
41	157	0	0.620441923	0
42	162	0	0.635574653	0
43	167	0	0.650707382	0
44	172	0	0.665840112	0
45	177	0	0.680972842	0
46	182	0	0.696105572	0
47	186	0	0.711238302	0
48	190	0	0.726371032	0
49	194	0	0.741503761	0
50	198	0	0.756636491	0
51	201	0	0.771769221	0
52	205	0	0.786901951	0
53	209	0	0.802034681	0
54	213	0	0.817167411	0
55	217	0	0.83230014	0
56	222	0	0.84743287	0
57	227	0	0.8625656	0
58	230	0	0.87769833	0
59	234	0	0.89283106	0
60	238	0	0.907963789	0
61	242	0	0.923096519	0
62	247	0	0.938229249	0
63	250	0	0.953361979	0
64	254	0	0.968494709	0
65	258	0	0.983627439	0
66	262	0	0.998760168	0
67	266	0	1.0138929	0
