Iteration	CPUTime	PhysTime	Travels	CourFact
1	9	0	0.0151327298	0
2	13	0	0.0302654596	0
3	16	0	0.0453981895	0
4	20	0	0.0605309193	0
5	23	0	0.0756636491	0
6	26	0	0.0907963789	0
7	30	0	0.105929109	0
8	34	0	0.121061839	0
9	37	0	0.136194568	0
10	41	0	0.151327298	0
11	45	0	0.166460028	0
12	48	0	0.181592758	0
13	51	0	0.196725488	0
14	55	0	0.211858218	0
15	58	0	0.226990947	0
16	62	0	0.242123677	0
17	65	0	0.257256407	0
18	68	0	0.272389137	0
19	72	0	0.287521867	0
20	75	0	0.302654596	0
21	79	0	0.317787326	0
22	82	0	0.332920056	0
23	85	0	0.348052786	0
24	89	0	0.363185516	0
25	92	0	0.378318246	0
26	96	0	0.393450975	0
27	99	0	0.408583705	0
28	103	0	0.423716435	0
29	107	0	0.438849165	0
30	110	0	0.453981895	0
31	114	0	0.469114625	0
32	117	0	0.484247354	0
33	121	0	0.499380084	0
34	124	0	0.514512814	0
35	128	0	0.529645544	0
36	132	0	0.544778274	0
37	135	0	0.559911003	0
38	139	0	0.575043733	0
39	142	0	0.590176463	0
40	145	0	0.605309193	0
41	149	0	0.620441923	0
42	152	0	0.635574653	0
43	155	0	0.650707382	0
44	159	0	0.665840112	0
45	162	0	0.680972842	0
46	166	0	0.696105572	0
47	169	0	0.711238302	0
48	173	0	0.726371032	0
49	176	0	0.741503761	0
50	180	0	0.756636491	0
51	183	0	0.771769221	0
52	187	0	0.786901951	0
53	190	0	0.802034681	0
54	194	0	0.817167411	0
55	197	0	0.83230014	0
56	200	0	0.84743287	0
57	204	0	0.8625656	0
58	207	0	0.87769833	0
59	211	0	0.89283106	0
60	214	0	0.907963789	0
61	217	0	0.923096519	0
62	221	0	0.938229249	0
63	225	0	0.953361979	0
64	229	0	0.968494709	0
65	233	0	0.983627439	0
66	237	0	0.998760168	0
67	240	0	1.0138929	0
68	243	0	1.02902563	0
69	247	0	1.04415836	0
70	250	0	1.05929109	0
71	255	0	1.07442382	0
72	259	0	1.08955655	0
73	263	0	1.10468928	0
74	267	0	1.11982201	0
